id,outcome,freshman,age,female,white,intl,married,hsgpa,hsrankpercent,SAT_Comb,a_rank,p_rank,interview,coaaid
215111,1,0,19,0,1,0,1,,,,3,3,0,0
215142,0,1,19,0,1,0,1,,,1960,3,4,0,0
215200,0,1,19,1,1,0,1,4,0.988785047,,1,2,1,10000
215250,0,1,19,1,1,0,1,3.98,0.911111111,1870,3,4,0,0
215395,0,1,19,1,1,0,0,,,1610,3,2,1,18475
215455,1,0,26,0,1,0,0,,0.896551724,,6,3,0,0
215458,1,1,19,0,1,0,1,3.76,,2000,2,2,0,10000
215460,0,1,18,1,1,0,1,3.58,0.76344086,1730,3,3,0,26000
215465,0,1,19,0,,0,1,3.55,0.731707317,,3,2,1,8600
215478,0,1,18,1,1,0,0,,,,3,3,0,0
215479,0,1,18,1,0,0,0,3.61,0.96,,4,2,0,26000
215481,1,0,23,1,1,0,1,,,,2,2,1,28225
215482,1,0,22,1,1,0,1,,,1630,3,3,1,13000
215484,0,0,20,1,,0,0,3.79,0.880681818,,3,2,0,0
215487,0,1,18,1,1,0,0,3.59,,,4,3,0,23000
215488,1,0,23,1,1,0,0,,,,3,3,0,26861
215492,1,0,21,0,,0,1,,,,4,2,1,26000
215521,0,1,19,1,1,0,1,3.73,0.782758621,1570,3,3,0,26000
215540,0,1,18,1,1,0,1,3.76,,2110,2,2,0,10000
215541,0,1,19,1,1,0,1,3.65,0.75,1820,3,2,0,11675
215543,0,1,19,1,0,0,,3.3,,1610,3,3,0,26000
215545,0,1,18,1,1,0,1,4.4,,2260,1,1,1,10000
215554,0,1,18,1,1,0,1,3.14,0.843137255,2040,3,3,0,24600
215622,0,1,18,1,1,0,1,3.54,,1570,3,4,0,16125
215623,0,1,19,0,1,0,0,2.8,,,4,3,0,0
215624,0,1,19,1,1,0,0,3.5,0.85,1400,4,3,0,0
215628,1,1,18,1,1,0,1,2.55,0.4453125,1610,4,3,0,23745
215629,0,1,19,1,0,0,0,3.55,0.907131012,,3,3,0,0
215638,1,1,19,0,1,0,1,3.4,,,4,2,0,26575
215673,0,1,19,1,1,0,0,4,,1960,2,2,0,0
215727,0,1,19,1,1,0,1,3.8,,1860,2,3,0,0
215728,0,1,19,1,1,0,1,3.82,0.919786096,,2,3,0,30000
215777,0,0,21,0,1,0,1,,,1960,2,2,0,10000
215801,1,1,18,0,1,0,0,3.39,,1800,3,3,0,26000
215871,0,1,18,1,1,0,0,3.24,,,4,3,0,0
215876,0,1,19,0,1,0,1,3.65,0.824324324,1960,2,2,0,10000
215877,0,1,19,1,,0,0,,,1610,2,2,0,33000
215884,0,1,19,0,1,0,0,,,1990,3,3,0,20000
215887,0,1,19,1,,0,1,,,1920,2,3,0,5000
215888,0,1,18,1,1,0,1,,,1770,2,2,0,29125
215891,0,1,18,1,1,0,1,3.2,,1540,3,3,0,0
215893,0,1,18,1,1,0,1,4,0.893442623,2090,2,1,0,17500
215895,0,0,19,1,,0,0,,,1870,4,3,0,0
215919,0,0,18,1,1,0,1,,,2020,3,3,0,15000
215927,0,1,18,1,0,0,1,4.17,0.964285714,1650,4,3,0,0
215928,0,1,19,1,1,0,1,4,,2110,2,2,0,26425
215960,1,1,19,0,1,0,0,3.25,,1890,2,2,0,0
215961,0,1,20,1,1,0,1,3.6,,2000,3,3,0,0
215963,0,1,18,1,1,0,0,3.22,0.865671642,1700,3,2,0,5000
215965,0,1,19,1,1,0,1,,,,2,2,0,23098
215966,0,1,19,1,1,0,0,3.7,0.9,1900,3,2,0,0
215968,0,1,19,1,1,0,1,3.67,,2010,3,3,0,26000
215973,0,1,19,1,1,0,1,3.79,0.928571429,1750,3,3,0,3000
215976,0,1,18,1,1,0,1,4,,,2,3,0,20375
215978,0,0,20,1,1,0,0,3.5,0.905063291,1850,2,3,0,5000
215984,0,1,19,1,0,0,1,3.6,,,3,2,0,30000
216073,0,1,18,0,1,0,1,3.09,,1830,4,2,0,3000
216074,0,1,19,0,,0,1,3.96,,,2,1,0,0
216075,1,1,19,1,1,0,0,3.85,0.871165644,1560,4,3,0,23000
216078,0,1,18,0,0,0,,3.46,0.954545455,,3,3,0,26000
216083,1,1,17,1,1,0,0,3.99,0.933673469,1900,2,3,0,9000
216086,0,1,18,1,1,0,0,3.59,0.78680203,1910,4,3,0,0
216097,0,1,19,1,1,0,1,3.8,,,2,2,0,10000
216185,1,0,19,1,1,0,0,,,,3,2,0,26000
216187,1,0,21,0,1,0,1,3.7,,2040,2,2,0,0
216216,0,1,19,0,1,0,0,3.6,,1600,4,3,0,23000
216217,0,1,19,1,1,0,0,,,,3,1,0,10000
216219,0,1,19,1,1,0,1,,,1720,4,3,0,0
216220,0,1,18,1,,0,1,,,2030,3,3,0,0
216232,0,1,18,1,1,0,1,3.4,,2030,2,2,0,31600
